id;author/userName;text;url;createdAt;class
1.57509E+18;keshikiayame;"Lagi gencar bgt nyobain eyecream krn kantong mata aku perlu diselamatkan 😭

Awalnya nyoba ini krn mama aku pake renew you series nya Wardah hasilnya cakep. Jadi aku penasaran jg sama eyecreamnya 😌✨ https://t.co/ZklKqUUka7";https://x.com/keshikiayame/status/1575089612711526403;Wed Sep 28 11:46:42 +0000 2022;positif
1.63959E+18;Tiyashare;"Untuk orang yang jarang or malas nak pakai foundation macam i, this velvet powder foundation from wardah is totally a lifesaver.

I know i made the right decision since my housemate tanya i pakai apa cuz she said my makeup look nice and tak nampak cakey🤍 https://t.co/81ZhRaEot5";https://x.com/Tiyashare/status/1639587970700443648;Sat Mar 25 11:20:08 +0000 2023;positif
1.58655E+18;datgurlisayu;"Try these cosmetic products from Wardah that are recommended for you to try. 

a thread - https://t.co/orBL2lLguJ";https://x.com/datgurlisayu/status/1586548180749283329;Sun Oct 30 02:38:57 +0000 2022;netral
1.61565E+18;secretlyfura;"ladies, amazing news for you 

no more masalah bibir kering or senang terkopek with this product. i actually just beli-beli je ni, no expectations. tapi memang bagus ya selesa betul di bibir even I pakai berjam-jam. thank you barenbliss for this amazing comfort lipmatte 🫶🏻 https://t.co/xVYXmwAXxZ";https://x.com/secretlyfura/status/1615654161038864384;Wed Jan 18 10:15:44 +0000 2023;positif
1.56735E+18;Chapienat;"Wait! Kenapa i takpernah tahu facemist wardah ni palingggg best! I baru pakai 3minggu dah habis 😭 Tak ada botol besar keeeeee 😭

I nak repeat lagi, sebab dah licin botol first! Suka sebab makeup stay lama, lepas tu dia buat muka you macam glowing ke, licin ke tkthulah nak ckp! https://t.co/n9b2Bq2am8";https://x.com/Chapienat/status/1567352545898790912;Wed Sep 07 03:22:21 +0000 2022;positif
1.60224E+18;nudihascart;"Korang I terjumpa product makeup from Indonesia. Murah gilaa lip matte RM13, liptint RM10😭

Banyak lagi product dia, ada setting powder, lips serum, setting spray, semua mostly bawah RM20. https://t.co/yJ8ywA0eUF";https://x.com/nudihascart/status/1602235009330737154;Mon Dec 12 09:32:48 +0000 2022;positif
1.66336E+18;NrRirinaa;"Drugstore lipstick you should try ❤️

This one is one of my fav . I suka this lipstick sebab texture dia jenis ringan . So nak pakai daily pun takda masalah . And one more things sbb dia tahan lama kat bibir . so takda la tiap kali habis makan kena reapply balik lipstick😜 https://t.co/dt4v44tzZR";https://x.com/NrRirinaa/status/1663360098117484545;Tue May 30 01:42:05 +0000 2023;positif
1.6077E+18;linskinjournal;"LIP PRODUCT TERCANTIK YG AKU PUNYA🥺

nggak cuma packagingnya dan tampilan produknya aja yg cantik tapi juga multifungsi.

#racuninmakeup https://t.co/7prZkRunbS";https://x.com/linskinjournal/status/1607699039587569664;Tue Dec 27 11:24:55 +0000 2022;positif
1.57641E+18;busuniriyaaa;"@ohmybeautybank masi belajar
fondie : loreal infalable
bedak tabur : wardah colorfit
blush : lipstik colorfit wardah soalnya ga kepake jadi kupake blush
Eyeliner : somethinc (ckep banget u pd harus coba)
Lipcream : ombrean wardah lipshot no 3 sama lipcream omg 
Dah segitu doang https://t.co/NRI59ib0Vn";https://x.com/busuniriyaaa/status/1576413705335582722;Sun Oct 02 03:28:10 +0000 2022;netral
1.56663E+18;lyaaunnie;"The best powder foundation i pernah pakai is from wardah. 

Kalau nak cepat tapi still nak bersiap cantik, pakai je powder foundation &gt; mascara &gt; lipmate/lipstick. Settle in less than 5 minutes. https://t.co/K0wbyXgeHj";https://x.com/lyaaunnie/status/1566632114191478784;Mon Sep 05 03:39:37 +0000 2022;positif
