transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday,purchase_level
T0000019,C014447,56+,Other,Dallas,New,P1229,Toys,121.41,25,91.06,1,91.06,Mobile Wallet,26-11-25,10,0,0,Low
T0000020,C029440,46-55,Female,San Francisco,Returning,P4836,Clothing,82.44,50,41.22,1,41.22,Debit Card,30-11-25,6,1,0,Low
T0000021,C018232,36-45,Male,San Francisco,Loyal,P9986,Sports,442.57,35,287.67,1,287.67,Mobile Wallet,28-11-25,6,0,1,Medium
T0000022,C000426,26-35,Female,Phoenix,Returning,P9909,Electronics,1854.46,35,1205.4,2,2410.8,Credit Card,26-11-25,3,0,0,High
T0000023,C010464,18-25,Male,Houston,VIP,P1447,Accessories,446.19,30,312.33,1,312.33,PayPal,01-12-25,2,0,0,Medium
T0000024,C027697,56+,Other,Chicago,Returning,P6948,Toys,24.64,20,19.71,1,19.71,Gift Card,29-11-25,17,1,0,Low
T0000025,C022299,26-35,Female,Houston,New,P3714,Books,45.55,25,34.16,1,34.16,Credit Card,01-12-25,18,0,0,Low
T0000026,C018211,18-25,Male,Dallas,Loyal,P2655,Electronics,231.94,40,139.16,1,139.16,Debit Card,24-11-25,2,0,0,Low
T0000027,C010190,36-45,Other,Houston,New,P6536,Accessories,113.08,50,56.54,1,56.54,Mobile Wallet,27-11-25,14,0,0,Low
T0000028,C014111,36-45,Other,Seattle,Loyal,P3187,Home & Kitchen,494.54,30,346.18,1,346.18,Mobile Wallet,26-11-25,1,0,0,Medium
T0000029,C022060,36-45,Male,Houston,New,P7094,Footwear,69.38,15,58.97,2,117.94,Cash,01-12-25,22,0,0,Low
T0000030,C006699,26-35,Male,Houston,Returning,P8777,Beauty,207.35,25,155.51,1,155.51,Debit Card,27-11-25,10,0,0,Low
T0000031,C006079,36-45,Male,Miami,Loyal,P5857,Books,28.33,5,26.91,2,53.82,PayPal,27-11-25,2,0,0,Low
T0000032,C024899,56+,Other,Miami,Loyal,P2838,Home & Kitchen,508.32,60,203.33,5,1016.65,PayPal,01-12-25,2,0,0,High
T0000033,C006339,36-45,Male,Chicago,Loyal,P3993,Sports,484.97,40,290.98,2,581.96,PayPal,29-11-25,8,1,0,High
T0000034,C023527,26-35,Male,Atlanta,Returning,P3465,Home & Kitchen,162.15,40,97.29,1,97.29,Debit Card,27-11-25,5,0,0,Low
T0000035,C022542,46-55,Male,Seattle,Loyal,P2338,Footwear,228.28,25,171.21,1,171.21,Cash,26-11-25,17,0,0,Low
T0000036,C017336,56+,Other,Seattle,Loyal,P6140,Sports,565.5,25,424.12,3,1272.36,Gift Card,01-12-25,23,0,0,High
T0000037,C002848,36-45,Female,Phoenix,Returning,P4214,Books,57.24,35,37.21,1,37.21,Debit Card,01-12-25,9,0,0,Low
T0000038,C030109,26-35,Female,Phoenix,Loyal,P5372,Footwear,106.84,5,101.5,1,101.5,Gift Card,25-11-25,19,0,0,Low
T0000039,C008181,56+,Female,Phoenix,Returning,P8107,Clothing,284.1,30,198.87,1,198.87,Debit Card,25-11-25,1,0,0,Low
T0000040,C024808,18-25,Male,Seattle,Loyal,P2391,Beauty,23,25,17.25,2,34.5,PayPal,27-11-25,17,0,0,Low
T0000041,C005165,46-55,Male,Seattle,Loyal,P2429,Books,40.83,40,24.5,1,24.5,PayPal,28-11-25,13,0,1,Low
T0000042,C019214,18-25,Other,San Francisco,Loyal,P9793,Clothing,248.85,35,161.75,1,161.75,Credit Card,30-11-25,20,1,0,Low
T0000043,C023701,46-55,Other,Houston,Loyal,P8357,Accessories,85.43,5,81.16,2,162.32,Gift Card,27-11-25,14,0,0,Low
T0000044,C012602,46-55,Other,Los Angeles,Loyal,P9628,Books,14.67,5,13.94,1,13.94,Cash,28-11-25,21,0,1,Low
T0000045,C004559,46-55,Female,Houston,VIP,P8488,Accessories,234.42,30,164.09,1,164.09,PayPal,01-12-25,18,0,0,Low
T0000046,C003004,18-25,Other,Houston,New,P6391,Sports,212.43,25,159.32,1,159.32,Gift Card,29-11-25,7,1,0,Low
T0000047,C014936,56+,Other,San Francisco,New,P3168,Clothing,243.2,25,182.4,1,182.4,PayPal,26-11-25,5,0,0,Low
T0000048,C018966,26-35,Other,Phoenix,Returning,P8307,Beauty,90.91,50,45.46,1,45.46,PayPal,01-12-25,17,0,0,Low
T0000049,C005230,36-45,Male,Atlanta,Returning,P4181,Footwear,244.34,25,183.26,1,183.26,Credit Card,24-11-25,3,0,0,Low
T0000050,C015257,26-35,Male,Miami,Returning,P6482,Groceries,114.24,5,108.53,1,108.53,Gift Card,28-11-25,17,0,1,Low
T0000051,C006620,36-45,Female,Miami,Loyal,P7749,Home & Kitchen,726.47,35,472.21,1,472.21,Debit Card,29-11-25,6,1,0,Medium
T0000052,C024912,36-45,Female,Miami,New,P3934,Electronics,1351.18,10,1216.06,1,1216.06,Cash,28-11-25,21,0,1,High
T0000053,C018218,18-25,Female,Los Angeles,Returning,P4353,Beauty,42.51,30,29.76,2,59.52,Gift Card,27-11-25,10,0,0,Low
T0000054,C029715,26-35,Other,New York,New,P3841,Clothing,37.37,20,29.9,1,29.9,Mobile Wallet,24-11-25,1,0,0,Low
T0000055,C023910,56+,Male,Miami,Returning,P7360,Groceries,111.06,40,66.64,1,66.64,Mobile Wallet,26-11-25,8,0,0,Low
T0000056,C010660,46-55,Male,New York,New,P2832,Beauty,165.86,35,107.81,2,215.62,Mobile Wallet,30-11-25,7,1,0,Medium
T0000057,C024261,18-25,Other,Houston,New,P1526,Clothing,223.09,50,111.54,1,111.54,Credit Card,29-11-25,13,1,0,Low
T0000058,C023284,18-25,Male,Atlanta,New,P1160,Toys,219.42,20,175.54,2,351.08,Cash,25-11-25,10,0,0,Medium
T0000059,C013731,26-35,Female,Los Angeles,Returning,P3976,Toys,224.69,50,112.34,1,112.34,Mobile Wallet,01-12-25,11,0,0,Low
T0000060,C017497,18-25,Other,Chicago,Returning,P8680,Accessories,19.96,25,14.97,1,14.97,Debit Card,01-12-25,10,0,0,Low
T0000061,C004680,18-25,Female,Houston,New,P1526,Beauty,63.64,25,47.73,1,47.73,PayPal,26-11-25,18,0,0,Low
T0000062,C011216,56+,Female,Houston,Returning,P4290,Toys,221.58,15,188.34,1,188.34,Cash,24-11-25,5,0,0,Low
T0000063,C016044,18-25,Male,Houston,New,P2989,Clothing,54.6,10,49.14,1,49.14,Credit Card,29-11-25,5,1,0,Low
T0000064,C010709,26-35,Other,San Francisco,Returning,P5999,Accessories,101.42,20,81.14,1,81.14,Mobile Wallet,26-11-25,22,0,0,Low
T0000065,C030295,56+,Male,Atlanta,New,P5922,Clothing,204.69,30,143.28,1,143.28,Mobile Wallet,30-11-25,23,1,0,Low
T0000066,C024868,56+,Other,Seattle,New,P3583,Accessories,406.01,35,263.91,1,263.91,Cash,24-11-25,1,0,0,Medium
T0000067,C017692,26-35,Other,Dallas,Returning,P6640,Beauty,49,30,34.3,1,34.3,Credit Card,25-11-25,16,0,0,Low
T0000068,C014393,18-25,Other,Phoenix,Loyal,P2801,Groceries,112.41,15,95.55,2,191.1,Gift Card,30-11-25,18,1,0,Low
T0000069,C021253,56+,Other,Houston,New,P1928,Footwear,88.03,5,83.63,1,83.63,Gift Card,25-11-25,4,0,0,Low
T0000070,C003666,18-25,Female,Dallas,VIP,P2793,Books,28.99,30,20.29,1,20.29,Gift Card,24-11-25,19,0,0,Low
T0000071,C015011,56+,Male,Chicago,Returning,P2430,Groceries,98.99,20,79.19,1,79.19,Debit Card,01-12-25,20,0,0,Low
T0000072,C002104,18-25,Male,Los Angeles,New,P1726,Sports,410.85,15,349.22,1,349.22,Cash,28-11-25,20,0,1,Medium
T0000073,C020674,56+,Other,Houston,Returning,P1153,Clothing,180.77,60,72.31,1,72.31,Credit Card,28-11-25,15,0,1,Low
T0000074,C026291,18-25,Male,Chicago,New,P1049,Sports,73.61,35,47.85,3,143.55,Mobile Wallet,28-11-25,18,0,1,Low
T0000075,C017547,46-55,Male,San Francisco,New,P6976,Groceries,60.68,10,54.61,2,109.22,Debit Card,28-11-25,2,0,1,Low
T0000076,C004338,46-55,Male,Atlanta,Returning,P4388,Accessories,469.7,20,375.76,2,751.52,Debit Card,27-11-25,4,0,0,High
T0000077,C013827,56+,Female,New York,New,P8203,Books,77.18,35,50.17,1,50.17,Gift Card,26-11-25,13,0,0,Low
T0000078,C020623,26-35,Other,Phoenix,Returning,P1796,Books,80.68,10,72.61,4,290.44,Mobile Wallet,28-11-25,12,0,1,Medium
T0000079,C013935,26-35,Other,Miami,VIP,P9346,Electronics,646.19,35,420.02,1,420.02,Debit Card,30-11-25,15,1,0,Medium
T0000080,C032718,18-25,Female,Los Angeles,Loyal,P7252,Books,115.2,10,103.68,1,103.68,Cash,28-11-25,18,0,1,Low
T0000081,C025929,26-35,Other,Seattle,Returning,P2964,Footwear,96.08,10,86.47,1,86.47,Gift Card,28-11-25,6,0,1,Low
T0000082,C030072,56+,Other,Los Angeles,Returning,P8849,Books,33.88,25,25.41,1,25.41,Gift Card,28-11-25,2,0,1,Low
T0000083,C009364,46-55,Female,San Francisco,VIP,P3102,Groceries,104.47,25,78.35,1,78.35,Cash,29-11-25,21,1,0,Low
T0000084,C017360,56+,Other,Seattle,Returning,P3932,Electronics,1315.54,40,789.32,1,789.32,Cash,25-11-25,21,0,0,High
T0000085,C009151,56+,Male,Phoenix,New,P9925,Groceries,11.36,20,9.09,1,9.09,Gift Card,27-11-25,16,0,0,Low
T0000086,C016163,18-25,Female,Seattle,New,P9448,Groceries,150.04,25,112.53,1,112.53,Cash,27-11-25,14,0,0,Low
T0000087,C017220,46-55,Female,Seattle,Returning,P4504,Home & Kitchen,138.33,5,131.41,3,394.23,Cash,25-11-25,1,0,0,Medium
T0000088,C028078,46-55,Female,Phoenix,New,P3259,Electronics,276.98,5,263.13,1,263.13,Debit Card,27-11-25,8,0,0,Medium
T0000089,C026176,36-45,Other,New York,New,P3146,Groceries,103.9,35,67.54,1,67.54,Gift Card,28-11-25,6,0,1,Low
T0000090,C023724,46-55,Male,Dallas,New,P9674,Home & Kitchen,81.69,30,57.18,2,114.36,Debit Card,28-11-25,16,0,1,Low
T0000091,C014374,56+,Other,Dallas,Returning,P5091,Home & Kitchen,260.79,25,195.59,1,195.59,Mobile Wallet,01-12-25,12,0,0,Low
T0000092,C009066,36-45,Male,Seattle,Returning,P9004,Electronics,1068.73,25,801.55,2,1603.1,Credit Card,26-11-25,2,0,0,High
T0000093,C033393,46-55,Female,Los Angeles,Returning,P5845,Sports,369.81,25,277.36,1,277.36,Mobile Wallet,30-11-25,2,1,0,Medium
T0000094,C032344,36-45,Other,Dallas,New,P7885,Accessories,393.55,35,255.81,1,255.81,Credit Card,28-11-25,4,0,1,Medium
T0000095,C005958,36-45,Other,Houston,New,P2270,Footwear,122.66,20,98.13,4,392.52,Credit Card,24-11-25,3,0,0,Medium
T0000096,C003088,46-55,Male,Seattle,Returning,P3817,Accessories,240.88,35,156.57,1,156.57,Mobile Wallet,27-11-25,4,0,0,Low
T0000097,C007186,56+,Female,Phoenix,Returning,P3779,Books,114.72,30,80.3,5,401.5,Cash,25-11-25,23,0,0,Medium
T0000098,C010017,56+,Male,Miami,Loyal,P1399,Footwear,154.87,20,123.9,1,123.9,PayPal,25-11-25,5,0,0,Low
T0000099,C010485,46-55,Female,Dallas,Loyal,P8559,Books,86.61,40,51.97,1,51.97,Mobile Wallet,27-11-25,6,0,0,Low
T0000100,C027667,26-35,Female,Chicago,Returning,P1875,Groceries,57.92,35,37.65,1,37.65,Mobile Wallet,29-11-25,3,1,0,Low
T0000101,C004164,18-25,Female,Atlanta,Returning,P8415,Clothing,194.5,20,155.6,2,311.2,PayPal,24-11-25,7,0,0,Medium
T0000102,C025217,46-55,Male,Miami,New,P4355,Electronics,2041.12,25,1530.84,1,1530.84,Cash,27-11-25,17,0,0,High
T0000103,C025010,56+,Male,Phoenix,Loyal,P2192,Footwear,322.55,25,241.91,1,241.91,Cash,28-11-25,20,0,1,Medium
T0000104,C030675,36-45,Other,San Francisco,New,P9005,Footwear,330.01,30,231.01,1,231.01,Credit Card,24-11-25,3,0,0,Medium
T0000105,C034677,46-55,Other,Phoenix,New,P2058,Groceries,63.9,30,44.73,1,44.73,Debit Card,24-11-25,8,0,0,Low
T0000106,C016477,46-55,Female,Phoenix,New,P8833,Sports,136.51,30,95.56,1,95.56,Credit Card,26-11-25,13,0,0,Low
T0000107,C000753,36-45,Other,Houston,Returning,P6301,Home & Kitchen,981.5,35,637.98,1,637.98,PayPal,01-12-25,10,0,0,High
T0000108,C007508,18-25,Male,New York,New,P8638,Groceries,127.78,15,108.61,2,217.22,Mobile Wallet,30-11-25,14,1,0,Medium
T0000109,C017487,56+,Male,Miami,Returning,P7501,Toys,130.2,20,104.16,1,104.16,Cash,30-11-25,0,1,0,Low
T0000110,C022294,56+,Other,Dallas,VIP,P3994,Home & Kitchen,67.62,5,64.24,1,64.24,Debit Card,27-11-25,1,0,0,Low
T0000111,C007311,56+,Female,Dallas,Returning,P9433,Electronics,873.14,15,742.17,2,1484.34,Mobile Wallet,24-11-25,14,0,0,High
T0000112,C019235,46-55,Female,Phoenix,Loyal,P4534,Home & Kitchen,155.83,40,93.5,1,93.5,Mobile Wallet,30-11-25,21,1,0,Low
T0000113,C028493,46-55,Male,Houston,Returning,P8196,Sports,305.34,15,259.54,2,519.08,Credit Card,26-11-25,10,0,0,High
T0000114,C010366,56+,Male,Atlanta,New,P7197,Home & Kitchen,997.19,35,648.17,1,648.17,Gift Card,26-11-25,8,0,0,High
T0000115,C029736,56+,Female,Los Angeles,Returning,P9111,Electronics,884.6,35,574.99,1,574.99,Cash,25-11-25,8,0,0,High
T0000116,C000213,56+,Other,Dallas,Returning,P6908,Sports,227.4,40,136.44,1,136.44,Gift Card,01-12-25,10,0,0,Low
T0000117,C017262,26-35,Male,Atlanta,Returning,P7247,Accessories,393.76,15,334.7,1,334.7,Credit Card,01-12-25,1,0,0,Medium
T0000118,C032807,18-25,Other,Seattle,Returning,P7551,Footwear,175.95,50,87.98,1,87.98,Gift Card,01-12-25,18,0,0,Low
T0000119,C011709,36-45,Female,Miami,New,P4610,Footwear,243.82,20,195.06,1,195.06,Gift Card,29-11-25,10,1,0,Low
T0000120,C033272,18-25,Male,Chicago,Loyal,P8446,Books,26.69,25,20.02,1,20.02,Debit Card,24-11-25,19,0,0,Low
T0000121,C006974,46-55,Other,New York,Returning,P7469,Accessories,132.96,5,126.31,1,126.31,PayPal,24-11-25,14,0,0,Low
T0000122,C019559,36-45,Female,Phoenix,Returning,P4862,Accessories,321.14,20,256.91,3,770.73,Cash,25-11-25,18,0,0,High
T0000123,C033271,18-25,Other,Houston,New,P8389,Home & Kitchen,156.54,15,133.06,1,133.06,Cash,29-11-25,14,1,0,Low
T0000124,C013036,46-55,Male,San Francisco,Returning,P4274,Footwear,86.09,60,34.44,1,34.44,Credit Card,24-11-25,10,0,0,Low
T0000125,C010017,26-35,Female,New York,New,P4191,Electronics,896.4,5,851.58,1,851.58,Credit Card,30-11-25,13,1,0,High
T0000126,C024505,26-35,Other,San Francisco,Loyal,P6479,Beauty,53.31,20,42.65,1,42.65,Mobile Wallet,28-11-25,10,0,1,Low
T0000127,C010588,36-45,Male,Dallas,New,P5159,Beauty,244.11,20,195.29,1,195.29,Debit Card,26-11-25,16,0,0,Low
T0000128,C034758,56+,Male,Seattle,New,P8617,Sports,168.56,35,109.56,1,109.56,Mobile Wallet,30-11-25,0,1,0,Low
T0000129,C000038,26-35,Male,Seattle,New,P3317,Footwear,335.47,35,218.06,2,436.12,Debit Card,28-11-25,0,0,1,Medium
T0000130,C021244,36-45,Male,Houston,Returning,P5562,Footwear,300.84,40,180.5,1,180.5,Credit Card,26-11-25,23,0,0,Low
T0000131,C032022,36-45,Other,Chicago,Loyal,P1501,Beauty,89.83,50,44.92,1,44.92,Debit Card,01-12-25,13,0,0,Low
T0000132,C001277,26-35,Female,Seattle,Returning,P2084,Footwear,205.62,20,164.5,1,164.5,PayPal,01-12-25,16,0,0,Low
T0000133,C007332,36-45,Other,Miami,New,P9622,Home & Kitchen,422.11,15,358.79,1,358.79,Cash,27-11-25,12,0,0,Medium
T0000134,C023789,18-25,Female,Miami,Loyal,P2090,Toys,213.9,50,106.95,1,106.95,Gift Card,24-11-25,11,0,0,Low
T0000135,C020154,46-55,Other,Los Angeles,New,P6912,Clothing,121.37,50,60.68,4,242.72,PayPal,29-11-25,0,1,0,Medium
T0000136,C015693,46-55,Other,New York,New,P2630,Accessories,238.5,30,166.95,1,166.95,Debit Card,28-11-25,21,0,1,Low
T0000137,C003797,46-55,Other,San Francisco,New,P1141,Books,87.67,60,35.07,1,35.07,Credit Card,26-11-25,21,0,0,Low
T0000138,C015786,18-25,Male,Chicago,Returning,P6521,Sports,261.54,60,104.62,1,104.62,Cash,28-11-25,12,0,1,Low
T0000139,C005162,36-45,Male,Miami,Returning,P7811,Toys,209.91,30,146.94,1,146.94,Mobile Wallet,25-11-25,22,0,0,Low
T0000140,C005614,36-45,Female,Houston,Returning,P9759,Beauty,98.85,10,88.96,1,88.96,Gift Card,29-11-25,0,1,0,Low
T0000141,C031850,56+,Female,Seattle,Returning,P9449,Accessories,205.69,5,195.41,1,195.41,PayPal,25-11-25,10,0,0,Low
T0000142,C004536,56+,Female,Chicago,VIP,P7250,Footwear,132.84,20,106.27,1,106.27,Debit Card,27-11-25,2,0,0,Low
T0000143,C034912,46-55,Other,Los Angeles,Returning,P2855,Books,118.78,25,89.08,1,89.08,Gift Card,01-12-25,5,0,0,Low
T0000144,C008242,46-55,Female,Miami,VIP,P6401,Footwear,191.57,35,124.52,1,124.52,Credit Card,27-11-25,8,0,0,Low
T0000145,C008415,46-55,Female,Phoenix,Loyal,P7069,Electronics,671.7,20,537.36,1,537.36,Mobile Wallet,28-11-25,3,0,1,High
T0000146,C031149,18-25,Male,Seattle,Returning,P7052,Electronics,1482.78,20,1186.22,1,1186.22,PayPal,01-12-25,18,0,0,High
T0000147,C010822,26-35,Female,Phoenix,Returning,P4166,Books,58.94,20,47.15,1,47.15,Cash,27-11-25,20,0,0,Low
T0000148,C017371,36-45,Other,Atlanta,New,P6177,Books,94.57,20,75.66,3,226.98,Debit Card,24-11-25,9,0,0,Medium
T0000149,C034582,56+,Other,Miami,Returning,P2239,Beauty,234.58,30,164.21,1,164.21,Cash,28-11-25,1,0,1,Low
T0000150,C027731,46-55,Male,Phoenix,Returning,P4886,Books,17.73,15,15.07,1,15.07,Credit Card,29-11-25,17,1,0,Low
T0000151,C013881,26-35,Other,San Francisco,Loyal,P6300,Home & Kitchen,1177.92,20,942.34,3,2827.02,Mobile Wallet,25-11-25,20,0,0,High
T0000152,C013183,46-55,Female,Phoenix,New,P3685,Footwear,82.77,30,57.94,1,57.94,Debit Card,28-11-25,6,0,1,Low
T0000153,C020429,36-45,Female,Seattle,New,P1976,Toys,89.26,35,58.02,2,116.04,Mobile Wallet,25-11-25,5,0,0,Low
T0000154,C026149,36-45,Other,Phoenix,Loyal,P8538,Groceries,156.2,10,140.58,3,421.74,Cash,28-11-25,13,0,1,Medium
T0000155,C024473,56+,Female,San Francisco,Loyal,P7493,Books,22.88,35,14.87,1,14.87,Mobile Wallet,25-11-25,11,0,0,Low
T0000156,C028712,36-45,Female,New York,Loyal,P7788,Sports,494.15,25,370.61,1,370.61,PayPal,28-11-25,18,0,1,Medium
T0000157,C033920,18-25,Female,Chicago,New,P8981,Electronics,1732.7,60,693.08,1,693.08,Gift Card,29-11-25,23,1,0,High
T0000158,C029589,18-25,Other,San Francisco,Returning,P9524,Home & Kitchen,971.22,35,631.29,1,631.29,PayPal,30-11-25,10,1,0,High
T0000159,C007931,36-45,Other,Houston,Returning,P9547,Accessories,286.08,10,257.47,3,772.41,Mobile Wallet,26-11-25,19,0,0,High
T0000160,C016247,36-45,Male,Houston,Returning,P7681,Groceries,196.91,30,137.84,1,137.84,Debit Card,29-11-25,19,1,0,Low
T0000161,C014726,26-35,Male,San Francisco,Returning,P9322,Toys,181.95,30,127.36,2,254.72,Mobile Wallet,25-11-25,17,0,0,Medium
T0000162,C004197,18-25,Other,Dallas,Loyal,P5200,Groceries,82.13,15,69.81,1,69.81,Mobile Wallet,01-12-25,16,0,0,Low
T0000163,C022157,46-55,Other,Seattle,Returning,P3177,Books,116.14,25,87.1,1,87.1,Credit Card,01-12-25,18,0,0,Low
T0000164,C001379,36-45,Other,Los Angeles,Loyal,P9096,Beauty,27.67,40,16.6,2,33.2,Mobile Wallet,28-11-25,15,0,1,Low
T0000165,C015081,46-55,Other,Seattle,Returning,P6386,Electronics,1359.41,25,1019.56,1,1019.56,Mobile Wallet,01-12-25,5,0,0,High
T0000166,C014433,36-45,Female,Houston,Returning,P5795,Electronics,1635.4,20,1308.32,1,1308.32,Mobile Wallet,29-11-25,10,1,0,High
T0000167,C000472,46-55,Male,Atlanta,New,P7359,Accessories,179.25,40,107.55,1,107.55,Gift Card,29-11-25,6,1,0,Low
T0000168,C004653,36-45,Male,Miami,New,P7432,Beauty,32.08,30,22.46,1,22.46,Debit Card,29-11-25,16,1,0,Low
T0000169,C003859,26-35,Male,Atlanta,Loyal,P3089,Footwear,161.21,25,120.91,1,120.91,PayPal,27-11-25,17,0,0,Low
T0000170,C015004,56+,Female,New York,New,P4229,Clothing,246.96,25,185.22,2,370.44,PayPal,30-11-25,18,1,0,Medium
T0000171,C004418,56+,Other,Seattle,VIP,P5977,Home & Kitchen,696.11,50,348.06,3,1044.18,Credit Card,30-11-25,8,1,0,High
T0000172,C002059,18-25,Female,Miami,Returning,P5364,Electronics,1931.02,15,1641.37,1,1641.37,Cash,01-12-25,14,0,0,High
T0000173,C021655,56+,Female,Seattle,New,P7467,Sports,436.25,35,283.56,1,283.56,Mobile Wallet,24-11-25,11,0,0,Medium
T0000174,C004644,26-35,Female,Houston,New,P3985,Electronics,823.41,25,617.56,2,1235.12,Credit Card,30-11-25,17,1,0,High
T0000175,C033696,26-35,Female,Miami,VIP,P3184,Groceries,54.44,35,35.39,3,106.17,PayPal,28-11-25,12,0,1,Low
T0000176,C015598,56+,Other,Seattle,Returning,P8539,Electronics,2008.83,50,1004.42,3,3013.26,Gift Card,26-11-25,3,0,0,High
T0000177,C018251,56+,Other,Chicago,New,P9921,Electronics,549.88,15,467.4,1,467.4,Debit Card,29-11-25,16,1,0,Medium
T0000178,C031813,26-35,Female,Phoenix,Loyal,P8717,Clothing,178.29,30,124.8,2,249.6,Cash,24-11-25,7,0,0,Medium
T0000179,C014041,26-35,Female,San Francisco,VIP,P7348,Clothing,287.8,40,172.68,1,172.68,Cash,28-11-25,18,0,1,Low
T0000180,C008672,56+,Male,Seattle,Loyal,P2344,Toys,162.39,5,154.27,1,154.27,Cash,24-11-25,10,0,0,Low
T0000181,C030977,36-45,Other,Atlanta,Returning,P9531,Footwear,288.14,5,273.73,1,273.73,Cash,25-11-25,23,0,0,Medium
T0000182,C015926,56+,Male,New York,Loyal,P8884,Sports,168.56,15,143.28,1,143.28,PayPal,30-11-25,4,1,0,Low
T0000183,C030997,46-55,Female,Chicago,VIP,P1114,Electronics,286.36,50,143.18,1,143.18,Mobile Wallet,30-11-25,15,1,0,Low
T0000184,C026678,46-55,Other,Seattle,Returning,P6748,Electronics,968.4,25,726.3,1,726.3,Gift Card,25-11-25,20,0,0,High
T0000185,C012479,26-35,Female,Chicago,New,P8817,Home & Kitchen,700.53,40,420.32,1,420.32,Cash,30-11-25,17,1,0,Medium
T0000186,C006182,26-35,Male,Miami,New,P1494,Clothing,199.18,5,189.22,1,189.22,Credit Card,30-11-25,8,1,0,Low
T0000187,C006353,18-25,Male,Chicago,Loyal,P9597,Sports,330.98,30,231.69,1,231.69,Debit Card,30-11-25,22,1,0,Medium
T0000188,C028250,26-35,Male,Miami,Returning,P2967,Accessories,222.13,25,166.6,1,166.6,Gift Card,25-11-25,21,0,0,Low
T0000189,C023220,26-35,Male,Seattle,VIP,P1998,Toys,295.76,15,251.4,1,251.4,Gift Card,26-11-25,19,0,0,Medium
T0000190,C027760,56+,Male,Houston,New,P2231,Footwear,250.32,25,187.74,3,563.22,Cash,27-11-25,14,0,0,High
T0000191,C026942,36-45,Other,Los Angeles,Loyal,P4400,Beauty,238.92,35,155.3,1,155.3,Mobile Wallet,26-11-25,0,0,0,Low
T0000192,C030607,26-35,Male,Atlanta,VIP,P5964,Footwear,86.5,20,69.2,1,69.2,Credit Card,29-11-25,18,1,0,Low
T0000193,C003551,56+,Female,Miami,VIP,P4262,Groceries,199.91,30,139.94,1,139.94,Gift Card,30-11-25,20,1,0,Low
T0000194,C006450,18-25,Female,Houston,Loyal,P5970,Electronics,1802.06,10,1621.85,1,1621.85,PayPal,28-11-25,9,0,1,High
T0000195,C003973,36-45,Other,Dallas,Loyal,P3344,Toys,291.86,30,204.3,2,408.6,Mobile Wallet,30-11-25,21,1,0,Medium
